"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(50Hertz)","Actual Total Load [MW] - CTA|DE(50Hertz)"
"04.01.2015 07:15 - 04.01.2015 07:30","6262","5478"
"04.01.2015 07:30 - 04.01.2015 07:45","6492","5922"
"04.01.2015 07:45 - 04.01.2015 08:00","6634","6033"
"04.01.2015 08:00 - 04.01.2015 08:15","6710","6022"
"04.01.2015 08:15 - 04.01.2015 08:30","6816","6174"
"04.01.2015 08:30 - 04.01.2015 08:45","7012","6452"
"04.01.2015 08:45 - 04.01.2015 09:00","7246","6590"
"04.01.2015 09:00 - 04.01.2015 09:15","7372","6757"
"04.01.2015 09:15 - 04.01.2015 09:30","7384","6692"
"04.01.2015 09:30 - 04.01.2015 09:45","7390","6811"
"04.01.2015 09:45 - 04.01.2015 10:00","7490","6988"
"04.01.2015 10:00 - 04.01.2015 10:15","7618","7098"
"04.01.2015 10:15 - 04.01.2015 10:30","7683","7280"
"04.01.2015 10:30 - 04.01.2015 10:45","7757","7357"
"04.01.2015 10:45 - 04.01.2015 11:00","7791","7569"
"04.01.2015 11:00 - 04.01.2015 11:15","7960","7863"
"04.01.2015 11:15 - 04.01.2015 11:30","8161","8297"
"04.01.2015 11:30 - 04.01.2015 11:45","8207","8513"
"04.01.2015 11:45 - 04.01.2015 12:00","8230","8592"
"04.01.2015 12:00 - 04.01.2015 12:15","8217","8541"
"04.01.2015 12:15 - 04.01.2015 12:30","8199","8395"
"04.01.2015 12:30 - 04.01.2015 12:45","8024","8202"
"04.01.2015 12:45 - 04.01.2015 13:00","7773","7863"
"04.01.2015 13:00 - 04.01.2015 13:15","7633","7612"
"04.01.2015 13:15 - 04.01.2015 13:30","7576","7266"
"04.01.2015 13:30 - 04.01.2015 13:45","7474","7185"
"04.01.2015 13:45 - 04.01.2015 14:00","7409","7010"
"04.01.2015 14:00 - 04.01.2015 14:15","7440","7225"
"04.01.2015 14:15 - 04.01.2015 14:30","7381","6970"
"04.01.2015 14:30 - 04.01.2015 14:45","7377","7177"
"04.01.2015 14:45 - 04.01.2015 15:00","7472","7346"
"04.01.2015 15:00 - 04.01.2015 15:15","7524","7354"
"04.01.2015 15:15 - 04.01.2015 15:30","7462","7192"
"04.01.2015 15:30 - 04.01.2015 15:45","7354","7099"
"04.01.2015 15:45 - 04.01.2015 16:00","7296","7459"
"04.01.2015 16:00 - 04.01.2015 16:15","7249","7698"
"04.01.2015 16:15 - 04.01.2015 16:30","7304","7785"
"04.01.2015 16:30 - 04.01.2015 16:45","7539","7846"
"04.01.2015 16:45 - 04.01.2015 17:00","7828","8262"
"04.01.2015 17:00 - 04.01.2015 17:15","8268","8186"
"04.01.2015 17:15 - 04.01.2015 17:30","8602","8238"
"04.01.2015 17:30 - 04.01.2015 17:45","8695","8257"
"04.01.2015 17:45 - 04.01.2015 18:00","8666","8165"
"04.01.2015 18:00 - 04.01.2015 18:15","8723","8107"
"04.01.2015 18:15 - 04.01.2015 18:30","8790","8070"
"04.01.2015 18:30 - 04.01.2015 18:45","8742","7871"
"04.01.2015 18:45 - 04.01.2015 19:00","8795","7972"
"04.01.2015 19:00 - 04.01.2015 19:15","8757","7654"
"04.01.2015 19:15 - 04.01.2015 19:30","8543","7679"
"04.01.2015 19:30 - 04.01.2015 19:45","8408","7737"
"04.01.2015 19:45 - 04.01.2015 20:00","8199","7556"
"04.01.2015 20:00 - 04.01.2015 20:15","7901","7434"
"04.01.2015 20:15 - 04.01.2015 20:30","7701","7167"
"04.01.2015 20:30 - 04.01.2015 20:45","7520","6987"
"04.01.2015 20:45 - 04.01.2015 21:00","7383","7185"
"04.01.2015 21:00 - 04.01.2015 21:15","7274","6974"
