"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(Amprion)","Actual Total Load [MW] - CTA|DE(Amprion)"
"05.01.2017 05:45 - 05.01.2017 06:00","19447","20478"
"05.01.2017 06:00 - 05.01.2017 06:15","20422","21257"
"05.01.2017 06:15 - 05.01.2017 06:30","21097","21930"
"05.01.2017 06:30 - 05.01.2017 06:45","21691","22548"
"05.01.2017 06:45 - 05.01.2017 07:00","22078","23110"
"05.01.2017 07:00 - 05.01.2017 07:15","22699","23739"
"05.01.2017 07:15 - 05.01.2017 07:30","23010","24032"
"05.01.2017 07:30 - 05.01.2017 07:45","23274","24684"
"05.01.2017 07:45 - 05.01.2017 08:00","23522","25239"
"05.01.2017 08:00 - 05.01.2017 08:15","23885","25560"
"05.01.2017 08:15 - 05.01.2017 08:30","23946","25727"
"05.01.2017 08:30 - 05.01.2017 08:45","23969","25735"
"05.01.2017 08:45 - 05.01.2017 09:00","23964","25736"
"05.01.2017 09:00 - 05.01.2017 09:15","23937","25841"
"05.01.2017 09:15 - 05.01.2017 09:30","24057","25926"
"05.01.2017 09:30 - 05.01.2017 09:45","24167","25984"
"05.01.2017 09:45 - 05.01.2017 10:00","24259","25929"
"05.01.2017 10:00 - 05.01.2017 10:15","24313","26154"
