"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|DE(TransnetBW)","Actual Total Load [MW] - CTA|DE(TransnetBW)"
"05.01.2017 00:15 - 05.01.2017 00:30","6445","6693"
"05.01.2017 00:30 - 05.01.2017 00:45","6289","6614"
"05.01.2017 00:45 - 05.01.2017 01:00","5969","6447"
"05.01.2017 01:00 - 05.01.2017 01:15","6015","6457"
"05.01.2017 01:15 - 05.01.2017 01:30","5897","6329"
"05.01.2017 01:30 - 05.01.2017 01:45","5753","6286"
"05.01.2017 01:45 - 05.01.2017 02:00","5781","6323"
"05.01.2017 02:00 - 05.01.2017 02:15","5768","6323"
"05.01.2017 02:15 - 05.01.2017 02:30","5826","6173"
"05.01.2017 02:30 - 05.01.2017 02:45","5696","6069"
"05.01.2017 02:45 - 05.01.2017 03:00","5673","6128"
"05.01.2017 03:00 - 05.01.2017 03:15","5579","6068"
"05.01.2017 03:15 - 05.01.2017 03:30","5558","6131"
"05.01.2017 03:30 - 05.01.2017 03:45","5547","6007"
"05.01.2017 03:45 - 05.01.2017 04:00","5708","6190"
"05.01.2017 04:00 - 05.01.2017 04:15","5724","6278"
"05.01.2017 04:15 - 05.01.2017 04:30","5800","6430"
"05.01.2017 04:30 - 05.01.2017 04:45","5850","6405"
"05.01.2017 04:45 - 05.01.2017 05:00","5966","6530"
"05.01.2017 05:00 - 05.01.2017 05:15","5911","6556"
"05.01.2017 05:15 - 05.01.2017 05:30","5931","6495"
"05.01.2017 05:30 - 05.01.2017 05:45","5894","6528"
"05.01.2017 05:45 - 05.01.2017 06:00","5915","6622"
"05.01.2017 06:00 - 05.01.2017 06:15","5781","6632"
"05.01.2017 06:15 - 05.01.2017 06:30","6105","6932"
"05.01.2017 06:30 - 05.01.2017 06:45","6228","7014"
"05.01.2017 06:45 - 05.01.2017 07:00","6388","7230"
"05.01.2017 07:00 - 05.01.2017 07:15","6556","7317"
"05.01.2017 07:15 - 05.01.2017 07:30","6798","7547"
"05.01.2017 07:30 - 05.01.2017 07:45","7040","7752"
"05.01.2017 07:45 - 05.01.2017 08:00","7209","7793"
"05.01.2017 08:00 - 05.01.2017 08:15","7360","7864"
"05.01.2017 08:15 - 05.01.2017 08:30","7532","7741"
"05.01.2017 08:30 - 05.01.2017 08:45","7674","7998"
"05.01.2017 08:45 - 05.01.2017 09:00","7741","8083"
"05.01.2017 09:00 - 05.01.2017 09:15","7871","8149"
"05.01.2017 09:15 - 05.01.2017 09:30","8124","8369"
"05.01.2017 09:30 - 05.01.2017 09:45","8185","8495"
"05.01.2017 09:45 - 05.01.2017 10:00","8252","8608"
